mois,regle,IS_bps,n_ep,OOS_net_bps
2025-03,rb0.03_br0.01_z3_oi0.02_tout fwd_240,216.6,45,-146.0
2025-04,rb0.03_br0.01_z3_oi0.02_tout fwd_240,157.8,56,333.6
2025-05,rb0.03_br0.01_z3_oi0.02_tout fwd_240,189.3,59,-38.5
2025-06,rb0.03_br1.0_z3_oi0.02_us fwd_240,133.7,21,-91.0
2025-07,rb0.03_br1.0_z3_oi0.02_us fwd_240,116.5,47,-102.0
2025-08,rb0.03_br0.01_z3_oi0.005_us fwd_240,76.5,19,-58.6
2025-09,rb0.03_br0.01_z3_oi0.005_us fwd_240,79.1,18,442.7
2025-10,rb0.03_br0.01_z3_oi0.005_us fwd_240,141.1,42,999.4
2025-11,rb0.03_br0.01_z3_oi-9.0_euro fwd_240,219.1,47,565.7
2025-12,rb0.03_br0.01_z3_oi-9.0_euro fwd_240,340.3,36,116.1
2026-01,rb0.03_br0.01_z3_oi-9.0_euro fwd_240,345.3,26,-183.7
2026-02,rb0.03_br0.01_z3_oi-9.0_euro fwd_120,248.9,51,-33.3
2026-03,rb0.03_br0.01_z3_oi-9.0_euro fwd_240,336.5,52,103.8
2026-04,rb0.03_br0.01_z3_oi-9.0_euro fwd_120,176.1,44,71.9
2026-05,rb0.03_br1.0_z3_oi0.01_us fwd_120,175.4,44,39.1
2026-06,rb0.03_br1.0_z3_oi0.01_tout fwd_120,90.5,160,26.7
2026-07,rb0.03_br1.0_z3_oi0.01_tout fwd_120,88.6,63,108.7
2026-08,rb0.03_br1.0_z3_oi0.01_tout fwd_120,98.8,64,-16.2
